[2026-03-19T09:56:00.185+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:56:00.242+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake manual__2026-03-19T09:51:39.462328+00:00 [queued]>
[2026-03-19T09:56:00.256+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake manual__2026-03-19T09:51:39.462328+00:00 [queued]>
[2026-03-19T09:56:00.257+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-03-19T09:56:00.278+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-03-19 09:51:39.462328+00:00
[2026-03-19T09:56:00.299+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'manual__2026-03-19T09:51:39.462328+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpsmswv7qb']
[2026-03-19T09:56:00.307+0000] {standard_task_runner.py:91} INFO - Job 12: Subtask load_snowflake
[2026-03-19T09:56:00.308+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=16947) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-19T09:56:00.309+0000] {standard_task_runner.py:64} INFO - Started process 16967 to run task
[2026-03-19T09:56:00.427+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake manual__2026-03-19T09:51:39.462328+00:00 [running]> on host 09c0201b80c4
[2026-03-19T09:56:00.527+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-03-19T09:51:39.462328+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-19T09:51:39.462328+00:00'
[2026-03-19T09:56:00.530+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-19T09:56:00.596+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-03-19T09:56:00.598+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-03-19T09:56:02.241+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896373.json to Snowflake stage
[2026-03-19T09:56:02.389+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896383.json to Snowflake stage
[2026-03-19T09:56:02.568+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896393.json to Snowflake stage
[2026-03-19T09:56:02.698+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896404.json to Snowflake stage
[2026-03-19T09:56:02.859+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896414.json to Snowflake stage
[2026-03-19T09:56:03.044+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896425.json to Snowflake stage
[2026-03-19T09:56:03.184+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896436.json to Snowflake stage
[2026-03-19T09:56:03.299+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896446.json to Snowflake stage
[2026-03-19T09:56:03.416+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896457.json to Snowflake stage
[2026-03-19T09:56:03.533+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896467.json to Snowflake stage
[2026-03-19T09:56:03.642+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896477.json to Snowflake stage
[2026-03-19T09:56:03.780+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896487.json to Snowflake stage
[2026-03-19T09:56:03.893+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896498.json to Snowflake stage
[2026-03-19T09:56:03.999+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896508.json to Snowflake stage
[2026-03-19T09:56:04.115+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896518.json to Snowflake stage
[2026-03-19T09:56:04.234+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896528.json to Snowflake stage
[2026-03-19T09:56:04.365+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896538.json to Snowflake stage
[2026-03-19T09:56:04.491+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896548.json to Snowflake stage
[2026-03-19T09:56:04.602+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896558.json to Snowflake stage
[2026-03-19T09:56:04.722+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896568.json to Snowflake stage
[2026-03-19T09:56:04.832+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896578.json to Snowflake stage
[2026-03-19T09:56:04.962+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896588.json to Snowflake stage
[2026-03-19T09:56:05.079+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896598.json to Snowflake stage
[2026-03-19T09:56:05.188+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896608.json to Snowflake stage
[2026-03-19T09:56:05.294+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896618.json to Snowflake stage
[2026-03-19T09:56:05.474+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896629.json to Snowflake stage
[2026-03-19T09:56:05.641+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896639.json to Snowflake stage
[2026-03-19T09:56:05.761+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896649.json to Snowflake stage
[2026-03-19T09:56:05.876+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896660.json to Snowflake stage
[2026-03-19T09:56:05.998+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896670.json to Snowflake stage
[2026-03-19T09:56:06.167+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896681.json to Snowflake stage
[2026-03-19T09:56:06.314+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896691.json to Snowflake stage
[2026-03-19T09:56:06.475+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896701.json to Snowflake stage
[2026-03-19T09:56:06.585+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896711.json to Snowflake stage
[2026-03-19T09:56:06.693+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896721.json to Snowflake stage
[2026-03-19T09:56:06.839+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896732.json to Snowflake stage
[2026-03-19T09:56:06.948+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896742.json to Snowflake stage
[2026-03-19T09:56:07.058+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896752.json to Snowflake stage
[2026-03-19T09:56:07.173+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896762.json to Snowflake stage
[2026-03-19T09:56:07.306+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896772.json to Snowflake stage
[2026-03-19T09:56:07.417+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896782.json to Snowflake stage
[2026-03-19T09:56:07.552+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896792.json to Snowflake stage
[2026-03-19T09:56:07.709+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896802.json to Snowflake stage
[2026-03-19T09:56:07.844+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896812.json to Snowflake stage
[2026-03-19T09:56:07.975+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896822.json to Snowflake stage
[2026-03-19T09:56:08.566+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896832.json to Snowflake stage
[2026-03-19T09:56:08.700+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896842.json to Snowflake stage
[2026-03-19T09:56:08.879+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896852.json to Snowflake stage
[2026-03-19T09:56:09.012+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896862.json to Snowflake stage
[2026-03-19T09:56:09.147+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896872.json to Snowflake stage
[2026-03-19T09:56:09.438+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896882.json to Snowflake stage
[2026-03-19T09:56:09.592+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896892.json to Snowflake stage
[2026-03-19T09:56:09.723+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896902.json to Snowflake stage
[2026-03-19T09:56:09.873+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896912.json to Snowflake stage
[2026-03-19T09:56:10.006+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896923.json to Snowflake stage
[2026-03-19T09:56:10.134+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896933.json to Snowflake stage
[2026-03-19T09:56:10.263+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896943.json to Snowflake stage
[2026-03-19T09:56:10.383+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896953.json to Snowflake stage
[2026-03-19T09:56:10.541+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896963.json to Snowflake stage
[2026-03-19T09:56:10.694+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896973.json to Snowflake stage
[2026-03-19T09:56:10.828+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896983.json to Snowflake stage
[2026-03-19T09:56:10.977+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896993.json to Snowflake stage
[2026-03-19T09:56:11.125+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897003.json to Snowflake stage
[2026-03-19T09:56:11.246+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897013.json to Snowflake stage
[2026-03-19T09:56:11.777+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897023.json to Snowflake stage
[2026-03-19T09:56:11.891+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897033.json to Snowflake stage
[2026-03-19T09:56:12.041+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897043.json to Snowflake stage
[2026-03-19T09:56:12.199+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897054.json to Snowflake stage
[2026-03-19T09:56:12.380+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897064.json to Snowflake stage
[2026-03-19T09:56:12.511+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897074.json to Snowflake stage
[2026-03-19T09:56:12.634+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897084.json to Snowflake stage
[2026-03-19T09:56:12.785+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897094.json to Snowflake stage
[2026-03-19T09:56:12.905+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897104.json to Snowflake stage
