[2026-03-19T09:28:52.263+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:28:52.320+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-03-19T09:26:00+00:00 [queued]>
[2026-03-19T09:28:52.334+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-03-19T09:26:00+00:00 [queued]>
[2026-03-19T09:28:52.335+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-03-19T09:28:52.356+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-03-19 09:26:00+00:00
[2026-03-19T09:28:52.377+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-03-19T09:26:00+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmphp157_xd']
[2026-03-19T09:28:52.385+0000] {standard_task_runner.py:91} INFO - Job 5: Subtask load_snowflake
[2026-03-19T09:28:52.385+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=4095) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-19T09:28:52.387+0000] {standard_task_runner.py:64} INFO - Started process 4116 to run task
[2026-03-19T09:28:52.506+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-03-19T09:26:00+00:00 [running]> on host 09c0201b80c4
[2026-03-19T09:28:52.653+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-03-19T09:26:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-19T09:26:00+00:00'
[2026-03-19T09:28:52.655+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-19T09:28:52.704+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2026-03-19T09:28:52.706+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-03-19T09:28:56.581+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896373.json to Snowflake stage
[2026-03-19T09:28:56.874+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896383.json to Snowflake stage
[2026-03-19T09:28:57.056+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896393.json to Snowflake stage
[2026-03-19T09:28:57.255+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896404.json to Snowflake stage
[2026-03-19T09:28:57.442+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896414.json to Snowflake stage
[2026-03-19T09:28:57.655+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896425.json to Snowflake stage
[2026-03-19T09:28:57.822+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896436.json to Snowflake stage
[2026-03-19T09:28:58.023+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896446.json to Snowflake stage
[2026-03-19T09:28:58.202+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896457.json to Snowflake stage
[2026-03-19T09:28:58.367+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896467.json to Snowflake stage
[2026-03-19T09:28:58.568+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896477.json to Snowflake stage
[2026-03-19T09:28:58.732+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896487.json to Snowflake stage
[2026-03-19T09:28:58.968+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896498.json to Snowflake stage
[2026-03-19T09:28:59.395+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896508.json to Snowflake stage
[2026-03-19T09:28:59.561+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896518.json to Snowflake stage
[2026-03-19T09:28:59.757+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896528.json to Snowflake stage
[2026-03-19T09:28:59.913+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896538.json to Snowflake stage
[2026-03-19T09:29:00.099+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896548.json to Snowflake stage
[2026-03-19T09:29:00.311+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896558.json to Snowflake stage
[2026-03-19T09:29:00.518+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896568.json to Snowflake stage
[2026-03-19T09:29:00.719+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896578.json to Snowflake stage
[2026-03-19T09:29:00.945+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896588.json to Snowflake stage
[2026-03-19T09:29:01.118+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896598.json to Snowflake stage
